"calendarId","title","body","start","end","isAllday","location","backgroundColor","color","recurrenceRule","idCliente"
"1","Aniversario de pet","Aniversario de Fox contato: 66645666","2024-03-18","2024-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"2","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2024-03-18","2024-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"3","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2024-03-18","2024-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"4","Aniversario de pet","Aniversario de Fox contato: 66645666","2025-03-18","2025-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"5","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2025-03-18","2025-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"6","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2025-03-18","2025-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"7","Aniversario de pet","Aniversario de Fox contato: 66645666","2026-03-18","2026-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"8","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2026-03-18","2026-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"9","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2026-03-18","2026-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"10","Aniversario de pet","Aniversario de Fox contato: 66645666","2027-03-18","2027-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"11","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2027-03-18","2027-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"12","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2027-03-18","2027-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"13","Aniversario de pet","Aniversario de Fox contato: 66645666","2028-03-18","2028-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"14","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2028-03-18","2028-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"15","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2028-03-18","2028-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"16","Aniversario de pet","Aniversario de Fox contato: 66645666","2029-03-18","2029-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"17","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2029-03-18","2029-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"18","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2029-03-18","2029-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"19","Aniversario de pet","Aniversario de Fox contato: 66645666","2030-03-18","2030-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"20","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2030-03-18","2030-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"21","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2030-03-18","2030-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"22","Aniversario de pet","Aniversario de Fox contato: 66645666","2031-03-18","2031-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"23","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2031-03-18","2031-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"24","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2031-03-18","2031-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"25","Aniversario de pet","Aniversario de Fox contato: 66645666","2032-03-18","2032-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"26","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2032-03-18","2032-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"27","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2032-03-18","2032-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"28","Aniversario de pet","Aniversario de Fox contato: 66645666","2033-03-18","2033-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"29","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2033-03-18","2033-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"30","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2033-03-18","2033-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"31","Aniversario de pet","Aniversario de Fox contato: 66645666","2034-03-18","2034-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"32","Aniversario de tutor","Aniversario de Giovanna contato: 66645666","2034-03-18","2034-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
"33","Aniversario de fidelizacao","Aniversario de Fidelizacao de Fox contato: 66645666","2034-03-18","2034-03-18","TRUE","PetShop","#a83291","#FFF","Todo ano","1"
